src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
74.125.250.248,192.168.1.5,3478,64588,17,2026-07-23 09:11:59,10.9271556,314145.33897549694,292.4823363913661,21.597569270451313,270.8847671209148,236,2960,29146,3403569,234,92,123.5,26.059335813693476,1256,92,1149.854391891892,216.1347742095269,1256,92,1074.0660200250313,339.64209106327195,115356.7500218319,4720,59200,20,236,0.00342008,0.0496285,0.0,0.008396184878912572,10.9150154,0.1000183,0.0,0.04644687404255319,0.010945210284081937,10.8941932,0.0612636,7.5e-06,0.003681714498141264,0.010309094504712474,0,0,0,0,0,0,0,0,0,0,0,12.542372881355933,1074.0660200250313,0,0,0,0,0,0,0,0,0,0,0,0,17565.09836065574,15.704918032786885,0,969258.4334550570335601359948,123.5,1149.854391891892,0,236,2960,29146,3403569
192.168.1.5,74.125.250.248,59826,3478,17,2026-07-23 09:11:59,10.9225095,44632.050903686555,123.41486175864621,68.11621450180473,55.29864725684148,744,604,216148,271346,1250,86,290.52150537634407,278.8764507919878,1263,91,449.24834437086093,382.34095240764805,1263,86,361.6424332344214,338.60947067335206,114656.37362968767,14880,12080,20,744,0.008108767260579065,0.0396522,0.0,0.007539918972414507,10.9225095,0.0542164,0.0,0.014700551144010768,0.011171713761721212,10.8903972,0.0558704,5e-07,0.018060360199004973,0.01492620194109927,0,0,0,0,0,0,0,0,0,0,0,0.8118279569892473,361.6424332344214,0,0,0,0,0,0,0,0,0,0,1200.6410256410256,4.333333333333333,1597.888888888889,4.111111111111111,44354.90211420139294758477257,85595.99357658046951911253007,290.52150537634407,449.24834437086093,0,744,604,216148,271346
192.168.1.23,224.0.0.251,5353,5353,17,2026-07-23 09:11:59,9.0112984,33.29153987398753,0.3329153987398753,0.3329153987398753,0.0,3,0,300,0,100,100,100.0,0.0,0,0,0,0.0,100,100,100.0,0.0,0.0,60,0,20,3,4.5056492,9.0112984,0.0,4.5056492,9.0112984,9.0112984,0.0,4.5056492,4.5056492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,3,0,300,0
192.168.1.5,172.217.21.206,51748,443,17,2026-07-23 09:12:00,9.9519853,853.5985277229057,2.0096492706837097,1.1053070988760403,0.9043421718076693,11,9,6815,1680,1285,76,619.5454545454545,538.9793997811323,595,65,186.66666666666666,218.03006928199403,1285,65,424.75,477.0152906354261,227543.5875,220,180,20,11,0.5237886999999999,7.7908284,0.0,1.7657426313341003,9.9519853,7.810352,0.0,0.9951985299999999,2.3437277022477097,9.927672600000001,7.8107287,0.0004184,1.240959075,2.5622412801754444,0,0,0,0,0,0,0,0,0,0,0,0.8181818181818182,424.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619.5454545454545,186.66666666666666,0,11,9,6815,1680
192.168.1.5,142.251.155.119,50517,443,17,2026-07-23 09:12:00,0.0859775,36672.385217062605,81.41664970486465,46.523799831351226,34.89284987351342,4,3,2177,976,1009,76,544.25,464.75658951756674,833,68,325.3333333333333,358.9859173963359,1009,68,450.42857142857144,436.34254471290166,190394.8163265306,80,60,20,4,0.014329583333333333,0.0352482,0.0,0.011893088052508577,0.0666466,0.0395071,0.0,0.022215533333333332,0.016500238854904162,0.0661563,0.0425665,0.0235898,0.03307815,0.00948835,0,0,0,0,0,0,0,0,0,0,0,0.75,450.42857142857144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544.25,325.3333333333333,0,4,3,2177,976
35.186.252.114,192.168.1.5,443,50927,6,2026-07-23 09:12:05,0.0488956,8507.92300329682,102.2586899434714,61.35521396608284,40.90347597738856,3,2,308,108,127,54,102.66666666666667,34.41253001774531,54,54,54.0,0.0,127,54,83.2,35.7625502446344,1278.96,60,40,20,2,0.0122239,0.0482122,0.0,0.02077940219472158,0.0488534,0.0488534,0.0,0.0244267,0.0244267,0,0,0,0,0,2,0,0,0,2,0,0,2,5,0,0,0.6666666666666666,83.2,1044,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.66666666666667,54.0,0,3,2,308,108
100.52.103.25,192.168.1.5,443,58371,6,2026-07-23 09:12:06,0.128414,2297.2573083931657,31.149251639229366,23.361938729422025,7.7873129098073415,3,1,212,83,79,54,70.66666666666667,11.785113019775793,83,83,83.0,0.0,83,54,73.75,11.519006033508273,132.6875,60,20,20,2,0.042804666666666664,0.1275858,0.0,0.05995026775460548,0.128414,0.128414,0.0,0.064207,0.064207,0,0,0,0,0,2,1,0,0,0,0,0,3,4,0,0,0.3333333333333333,73.75,280,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.66666666666667,83.0,0,3,1,212,83
192.168.1.5,157.240.238.60,57128,443,6,2026-07-23 09:12:07,0.1177558,4084.7244891546748,42.46075352551637,25.476452115309822,16.984301410206548,3,2,300,181,123,54,100.0,32.526911934581186,125,56,90.5,34.5,125,54,96.2,33.65352878971238,1132.56,60,40,20,2,0.02943895,0.0545626,0.0,0.02308863041385305,0.1177558,0.1177558,0.0,0.0588779,0.0588779,0,0,0,0,0,2,1,0,0,0,0,0,3,5,0,0,0.6666666666666666,96.2,254,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,90.5,0,3,2,300,181
100.52.103.25,192.168.1.5,443,57609,6,2026-07-23 09:12:08,0.1189556,2479.9168765488976,33.62599154642572,25.219493659819296,8.40649788660643,3,1,212,83,79,54,70.66666666666667,11.785113019775793,83,83,83.0,0.0,83,54,73.75,11.519006033508273,132.6875,60,20,20,2,0.03965186666666667,0.118407,0.0,0.0556887391983534,0.1189556,0.1189556,0.0,0.0594778,0.0594778,0,0,0,0,0,2,1,0,0,0,0,0,3,4,0,0,0.3333333333333333,73.75,221,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.66666666666667,83.0,0,3,1,212,83
192.178.24.42,192.168.1.5,443,60497,17,2026-07-23 09:12:09,0.0071915,44079.81644997567,417.1591462142807,278.1060974761872,139.0530487380936,2,1,242,75,121,121,121.0,0.0,75,75,75.0,0.0,121,75,105.66666666666667,21.684607956387456,470.2222222222222,40,20,20,2,0.00359575,0.0071915,0.0,0.00359575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,105.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.0,75.0,0,2,1,242,75
